,,,イベント管理,,
PJコード,PJ名,イベント名,ファイル名,更新日,更新者
PJ00000001,PJ名PJ00000001,工程移行判定 (設計→構築),ファイル名PJ000000011,2010/4/26,PL名PJ00000001
PJ00000001,PJ名PJ00000001,工程移行判定 (構築→テスト),ファイル名PJ000000012,2010/5/10,PL名PJ00000001
PJ00000001,PJ名PJ00000001,検証,ファイル名PJ000000013,2010/6/10,PL名PJ00000001
PJ00000001,PJ名PJ00000001,検証,ファイル名PJ000000014,2010/7/10,PL名PJ00000001
PJ00000001,PJ名PJ00000001,妥当性確認,ファイル名PJ000000015,2010/9/20,PL名PJ00000001
PJ00000001,PJ名PJ00000001,開発終了判定,ファイル名PJ000000016,2010/9/28,PL名PJ00000001
PJ00000001,PJ名PJ00000001,納入判定,ファイル名PJ000000017,2010/9/28,PL名PJ00000001
PJ00000001,PJ名PJ00000001,納入,ファイル名PJ000000018,2010/9/29,PL名PJ00000001
PJ00000002,PJ名PJ00000002,工程移行判定 (設計→構築),ファイル名PJ000000021,2010/4/26,PL名PJ00000002
PJ00000002,PJ名PJ00000002,工程移行判定 (構築→テスト),ファイル名PJ000000022,2010/5/10,PL名PJ00000002
PJ00000002,PJ名PJ00000002,検証,ファイル名PJ000000023,2010/6/10,PL名PJ00000002
PJ00000002,PJ名PJ00000002,検証,ファイル名PJ000000024,2010/7/10,PL名PJ00000002
PJ00000002,PJ名PJ00000002,妥当性確認,ファイル名PJ000000025,2010/9/20,PL名PJ00000002
PJ00000002,PJ名PJ00000002,開発終了判定,ファイル名PJ000000026,2010/9/28,PL名PJ00000002
PJ00000002,PJ名PJ00000002,納入判定,ファイル名PJ000000027,2010/9/28,PL名PJ00000002
PJ00000002,PJ名PJ00000002,納入,ファイル名PJ000000028,2010/9/29,PL名PJ00000002
PJ00000003,PJ名PJ00000003,工程移行判定 (設計→構築),ファイル名PJ000000031,2010/4/26,PL名PJ00000003
PJ00000003,PJ名PJ00000003,工程移行判定 (構築→テスト),ファイル名PJ000000032,2010/5/10,PL名PJ00000003
PJ00000003,PJ名PJ00000003,検証,ファイル名PJ000000033,2010/6/10,PL名PJ00000003
PJ00000003,PJ名PJ00000003,検証,ファイル名PJ000000034,2010/7/10,PL名PJ00000003
PJ00000003,PJ名PJ00000003,妥当性確認,ファイル名PJ000000035,2010/9/20,PL名PJ00000003
PJ00000003,PJ名PJ00000003,開発終了判定,ファイル名PJ000000036,2010/9/28,PL名PJ00000003
PJ00000003,PJ名PJ00000003,納入判定,ファイル名PJ000000037,2010/9/28,PL名PJ00000003
PJ00000003,PJ名PJ00000003,納入,ファイル名PJ000000038,2010/9/29,PL名PJ00000003
PJ00000004,PJ名PJ00000004,工程移行判定 (設計→構築),ファイル名PJ000000041,2010/4/26,PL名PJ00000004
PJ00000004,PJ名PJ00000004,工程移行判定 (構築→テスト),ファイル名PJ000000042,2010/5/10,PL名PJ00000004
PJ00000004,PJ名PJ00000004,検証,ファイル名PJ000000043,2010/6/10,PL名PJ00000004
PJ00000004,PJ名PJ00000004,検証,ファイル名PJ000000044,2010/7/10,PL名PJ00000004
PJ00000004,PJ名PJ00000004,妥当性確認,ファイル名PJ000000045,2010/9/20,PL名PJ00000004
PJ00000004,PJ名PJ00000004,開発終了判定,ファイル名PJ000000046,2010/9/28,PL名PJ00000004
PJ00000004,PJ名PJ00000004,納入判定,ファイル名PJ000000047,2010/9/28,PL名PJ00000004
PJ00000004,PJ名PJ00000004,納入,ファイル名PJ000000048,2010/9/29,PL名PJ00000004
PJ00000005,PJ名PJ00000005,工程移行判定 (設計→構築),ファイル名PJ000000051,2010/4/26,PL名PJ00000005
PJ00000005,PJ名PJ00000005,工程移行判定 (構築→テスト),ファイル名PJ000000052,2010/5/10,PL名PJ00000005
PJ00000005,PJ名PJ00000005,検証,ファイル名PJ000000053,2010/6/10,PL名PJ00000005
PJ00000005,PJ名PJ00000005,検証,ファイル名PJ000000054,2010/7/10,PL名PJ00000005
PJ00000005,PJ名PJ00000005,妥当性確認,ファイル名PJ000000055,2010/9/20,PL名PJ00000005
PJ00000005,PJ名PJ00000005,開発終了判定,ファイル名PJ000000056,2010/9/28,PL名PJ00000005
PJ00000005,PJ名PJ00000005,納入判定,ファイル名PJ000000057,2010/9/28,PL名PJ00000005
PJ00000005,PJ名PJ00000005,納入,ファイル名PJ000000058,2010/9/29,PL名PJ00000005
PJ00000006,PJ名PJ00000006,工程移行判定 (設計→構築),ファイル名PJ000000061,2010/4/26,PL名PJ00000006
PJ00000006,PJ名PJ00000006,工程移行判定 (構築→テスト),ファイル名PJ000000062,2010/5/10,PL名PJ00000006
PJ00000006,PJ名PJ00000006,検証,ファイル名PJ000000063,2010/6/10,PL名PJ00000006
PJ00000006,PJ名PJ00000006,検証,ファイル名PJ000000064,2010/7/10,PL名PJ00000006
PJ00000006,PJ名PJ00000006,妥当性確認,ファイル名PJ000000065,2010/9/20,PL名PJ00000006
PJ00000006,PJ名PJ00000006,開発終了判定,ファイル名PJ000000066,2010/9/28,PL名PJ00000006
PJ00000006,PJ名PJ00000006,納入判定,ファイル名PJ000000067,2010/9/28,PL名PJ00000006
PJ00000006,PJ名PJ00000006,納入,ファイル名PJ000000068,2010/9/29,PL名PJ00000006
PJ00000007,PJ名PJ00000007,工程移行判定 (設計→構築),ファイル名PJ000000071,2010/4/26,PL名PJ00000007
PJ00000007,PJ名PJ00000007,工程移行判定 (構築→テスト),ファイル名PJ000000072,2010/5/10,PL名PJ00000007
PJ00000007,PJ名PJ00000007,検証,ファイル名PJ000000073,2010/6/10,PL名PJ00000007
PJ00000007,PJ名PJ00000007,検証,ファイル名PJ000000074,2010/7/10,PL名PJ00000007
PJ00000007,PJ名PJ00000007,妥当性確認,ファイル名PJ000000075,2010/9/20,PL名PJ00000007
PJ00000007,PJ名PJ00000007,開発終了判定,ファイル名PJ000000076,2010/9/28,PL名PJ00000007
PJ00000007,PJ名PJ00000007,納入判定,ファイル名PJ000000077,2010/9/28,PL名PJ00000007
PJ00000007,PJ名PJ00000007,納入,ファイル名PJ000000078,2010/9/29,PL名PJ00000007
PJ00000008,PJ名PJ00000008,工程移行判定 (設計→構築),ファイル名PJ000000081,2010/4/26,PL名PJ00000008
PJ00000008,PJ名PJ00000008,工程移行判定 (構築→テスト),ファイル名PJ000000082,2010/5/10,PL名PJ00000008
PJ00000008,PJ名PJ00000008,検証,ファイル名PJ000000083,2010/6/10,PL名PJ00000008
PJ00000008,PJ名PJ00000008,検証,ファイル名PJ000000084,2010/7/10,PL名PJ00000008
PJ00000008,PJ名PJ00000008,妥当性確認,ファイル名PJ000000085,2010/9/20,PL名PJ00000008
PJ00000008,PJ名PJ00000008,開発終了判定,ファイル名PJ000000086,2010/9/28,PL名PJ00000008
PJ00000008,PJ名PJ00000008,納入判定,ファイル名PJ000000087,2010/9/28,PL名PJ00000008
PJ00000008,PJ名PJ00000008,納入,ファイル名PJ000000088,2010/9/29,PL名PJ00000008
PJ00000009,PJ名PJ00000009,工程移行判定 (設計→構築),ファイル名PJ000000091,2010/4/26,PL名PJ00000009
PJ00000009,PJ名PJ00000009,工程移行判定 (構築→テスト),ファイル名PJ000000092,2010/5/10,PL名PJ00000009
PJ00000009,PJ名PJ00000009,検証,ファイル名PJ000000093,2010/6/10,PL名PJ00000009
PJ00000009,PJ名PJ00000009,検証,ファイル名PJ000000094,2010/7/10,PL名PJ00000009
PJ00000009,PJ名PJ00000009,妥当性確認,ファイル名PJ000000095,2010/9/20,PL名PJ00000009
PJ00000009,PJ名PJ00000009,開発終了判定,ファイル名PJ000000096,2010/9/28,PL名PJ00000009
PJ00000009,PJ名PJ00000009,納入判定,ファイル名PJ000000097,2010/9/28,PL名PJ00000009
PJ00000009,PJ名PJ00000009,納入,ファイル名PJ000000098,2010/9/29,PL名PJ00000009
PJ00000010,PJ名PJ00000010,工程移行判定 (設計→構築),ファイル名PJ000000101,2010/4/26,PL名PJ00000010
PJ00000010,PJ名PJ00000010,工程移行判定 (構築→テスト),ファイル名PJ000000102,2010/5/10,PL名PJ00000010
PJ00000010,PJ名PJ00000010,検証,ファイル名PJ000000103,2010/6/10,PL名PJ00000010
PJ00000010,PJ名PJ00000010,検証,ファイル名PJ000000104,2010/7/10,PL名PJ00000010
PJ00000010,PJ名PJ00000010,妥当性確認,ファイル名PJ000000105,2010/9/20,PL名PJ00000010
PJ00000010,PJ名PJ00000010,開発終了判定,ファイル名PJ000000106,2010/9/28,PL名PJ00000010
PJ00000010,PJ名PJ00000010,納入判定,ファイル名PJ000000107,2010/9/28,PL名PJ00000010
PJ00000010,PJ名PJ00000010,納入,ファイル名PJ000000108,2010/9/29,PL名PJ00000010
PJ00000011,PJ名PJ00000011,工程移行判定 (設計→構築),ファイル名PJ000000111,2010/4/26,PL名PJ00000011
PJ00000011,PJ名PJ00000011,工程移行判定 (構築→テスト),ファイル名PJ000000112,2010/5/10,PL名PJ00000011
PJ00000011,PJ名PJ00000011,検証,ファイル名PJ000000113,2010/6/10,PL名PJ00000011
PJ00000011,PJ名PJ00000011,検証,ファイル名PJ000000114,2010/7/10,PL名PJ00000011
PJ00000011,PJ名PJ00000011,妥当性確認,ファイル名PJ000000115,2010/9/20,PL名PJ00000011
PJ00000011,PJ名PJ00000011,開発終了判定,ファイル名PJ000000116,2010/9/28,PL名PJ00000011
PJ00000011,PJ名PJ00000011,納入判定,ファイル名PJ000000117,2010/9/28,PL名PJ00000011
PJ00000011,PJ名PJ00000011,納入,ファイル名PJ000000118,2010/9/29,PL名PJ00000011
PJ00000012,PJ名PJ00000012,工程移行判定 (設計→構築),ファイル名PJ000000121,2010/4/26,PL名PJ00000012
PJ00000012,PJ名PJ00000012,工程移行判定 (構築→テスト),ファイル名PJ000000122,2010/5/10,PL名PJ00000012
PJ00000012,PJ名PJ00000012,検証,ファイル名PJ000000123,2010/6/10,PL名PJ00000012
PJ00000012,PJ名PJ00000012,検証,ファイル名PJ000000124,2010/7/10,PL名PJ00000012
