,,,進捗/品質情報.総括表,進捗/品質情報.総括表,進捗/品質情報.総括表
PJコード,PJ名,フェーズ名,終了日予定,終了日実績,工程完了率
PJ00000001,PJ名PJ00000001,機能設計,2010/4/26,2010/4/26,100
PJ00000001,PJ名PJ00000001,詳細設計,2010/5/10,2010/5/10,100
PJ00000001,PJ名PJ00000001,製造 (コーディング),2010/6/10,2010/6/10,100
PJ00000001,PJ名PJ00000001,単体テスト,2010/7/10,2010/7/10,100
PJ00000001,PJ名PJ00000001,結合テスト,2010/9/20,2010/9/20,100
PJ00000001,PJ名PJ00000001,総合テスト,2010/9/28,2010/9/28,100
PJ00000002,PJ名PJ00000002,機能設計,2010/4/26,2010/4/26,100
PJ00000002,PJ名PJ00000002,詳細設計,2010/5/10,2010/5/10,100
PJ00000002,PJ名PJ00000002,製造 (コーディング),2010/6/10,2010/6/10,100
PJ00000002,PJ名PJ00000002,単体テスト,2010/7/10,2010/7/10,100
PJ00000002,PJ名PJ00000002,結合テスト,2010/9/20,2010/9/20,100
PJ00000002,PJ名PJ00000002,総合テスト,2010/9/28,2010/9/28,100
PJ00000003,PJ名PJ00000003,機能設計,2010/4/26,2010/4/26,100
PJ00000003,PJ名PJ00000003,詳細設計,2010/5/10,2010/5/10,100
PJ00000003,PJ名PJ00000003,製造 (コーディング),2010/6/10,2010/6/10,100
PJ00000003,PJ名PJ00000003,単体テスト,2010/7/10,2010/7/10,100
PJ00000003,PJ名PJ00000003,結合テスト,2010/9/20,2010/9/20,100
PJ00000003,PJ名PJ00000003,総合テスト,2010/9/28,2010/9/28,100
PJ00000004,PJ名PJ00000004,機能設計,2010/4/26,2010/4/26,100
PJ00000004,PJ名PJ00000004,詳細設計,2010/5/10,2010/5/10,100
PJ00000004,PJ名PJ00000004,製造 (コーディング),2010/6/10,2010/6/10,100
PJ00000004,PJ名PJ00000004,単体テスト,2010/7/10,2010/7/10,100
PJ00000004,PJ名PJ00000004,結合テスト,2010/9/20,2010/9/20,100
PJ00000004,PJ名PJ00000004,総合テスト,2010/9/28,2010/9/28,100
PJ00000005,PJ名PJ00000005,機能設計,2010/4/26,2010/4/26,100
PJ00000005,PJ名PJ00000005,詳細設計,2010/5/10,2010/5/10,100
