,,受注審査情報.受注審査,受注審査情報.受注審査,受注審査情報.受注審査,受注審査情報.受注審査,受注審査情報.受注審査
PJコード,PJ名,予定日,判定方法,実施日,判定結果,受注審査票登録日時
PJ00000001,PJ名PJ00000001,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000001,PJ名PJ00000001,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000001,PJ名PJ00000001,2010/4/12,審査会,2010/4/12,合格,
PJ00000002,PJ名PJ00000002,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000002,PJ名PJ00000002,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000002,PJ名PJ00000002,2010/4/12,審査会,2010/4/12,合格,
PJ00000003,PJ名PJ00000003,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000003,PJ名PJ00000003,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000003,PJ名PJ00000003,2010/4/12,審査会,2010/4/12,合格,
PJ00000004,PJ名PJ00000004,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000004,PJ名PJ00000004,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000004,PJ名PJ00000004,2010/4/12,審査会,2010/4/12,合格,
PJ00000005,PJ名PJ00000005,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000005,PJ名PJ00000005,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000005,PJ名PJ00000005,2010/4/12,審査会,2010/4/12,合格,
PJ00000006,PJ名PJ00000006,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000006,PJ名PJ00000006,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000006,PJ名PJ00000006,2010/4/12,審査会,2010/4/12,合格,
PJ00000007,PJ名PJ00000007,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000007,PJ名PJ00000007,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000007,PJ名PJ00000007,2010/4/12,審査会,2010/4/12,合格,
PJ00000008,PJ名PJ00000008,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000008,PJ名PJ00000008,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000008,PJ名PJ00000008,2010/4/12,審査会,2010/4/12,合格,
PJ00000009,PJ名PJ00000009,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000009,PJ名PJ00000009,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000009,PJ名PJ00000009,2010/4/12,審査会,2010/4/12,合格,
PJ00000010,PJ名PJ00000010,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000010,PJ名PJ00000010,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000010,PJ名PJ00000010,2010/4/12,審査会,2010/4/12,合格,
PJ00000011,PJ名PJ00000011,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000011,PJ名PJ00000011,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000011,PJ名PJ00000011,2010/4/12,審査会,2010/4/12,合格,
PJ00000012,PJ名PJ00000012,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000012,PJ名PJ00000012,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000012,PJ名PJ00000012,2010/4/12,審査会,2010/4/12,合格,
PJ00000013,PJ名PJ00000013,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000013,PJ名PJ00000013,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000013,PJ名PJ00000013,2010/4/12,審査会,2010/4/12,合格,
PJ00000014,PJ名PJ00000014,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000014,PJ名PJ00000014,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000014,PJ名PJ00000014,2010/4/12,審査会,2010/4/12,合格,
PJ00000015,PJ名PJ00000015,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000015,PJ名PJ00000015,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000015,PJ名PJ00000015,2010/4/12,審査会,2010/4/12,合格,
PJ00000016,PJ名PJ00000016,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000016,PJ名PJ00000016,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000016,PJ名PJ00000016,2010/4/12,審査会,2010/4/12,合格,
PJ00000017,PJ名PJ00000017,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000017,PJ名PJ00000017,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000017,PJ名PJ00000017,2010/4/12,審査会,2010/4/12,合格,
PJ00000018,PJ名PJ00000018,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000018,PJ名PJ00000018,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000018,PJ名PJ00000018,2010/4/12,審査会,2010/4/12,合格,
PJ00000019,PJ名PJ00000019,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000019,PJ名PJ00000019,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000019,PJ名PJ00000019,2010/4/12,審査会,2010/4/12,合格,
PJ00000020,PJ名PJ00000020,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000020,PJ名PJ00000020,2010/4/10,セルフチェック,2010/4/10,合格,
PJ00000020,PJ名PJ00000020,2010/4/12,審査会,2010/4/12,合格,
PJ00000021,PJ名PJ00000021,2010/4/2,書類審査,2010/4/2,条件付き合格,
PJ00000021,PJ名PJ00000021,2010/4/10,セルフチェック,2010/4/10,合格,
