,,基本情報.本番稼働日,基本情報.本番稼働日
PJコード,PJ名,予定日付,実績日付
PJ00000001,PJ名PJ00000001,2010/10/1,2010/10/1
PJ00000002,PJ名PJ00000002,2010/11/1,2010/11/1
PJ00000003,PJ名PJ00000003,2010/10/15,2010/10/15
PJ00000004,PJ名PJ00000004,2010/10/1,2010/10/1
PJ00000005,PJ名PJ00000005,2010/11/1,2010/11/1
PJ00000006,PJ名PJ00000006,2010/10/15,2010/10/15
PJ00000007,PJ名PJ00000007,2010/10/1,2010/10/1
PJ00000008,PJ名PJ00000008,2010/11/1,2010/11/1
PJ00000009,PJ名PJ00000009,2010/10/15,2010/10/15
PJ00000010,PJ名PJ00000010,2010/10/1,2010/10/1
PJ00000011,PJ名PJ00000011,2010/11/1,2010/11/1
PJ00000012,PJ名PJ00000012,2010/10/15,2010/10/15
PJ00000013,PJ名PJ00000013,2010/10/1,2010/10/1
PJ00000014,PJ名PJ00000014,2010/11/1,2010/11/1
PJ00000015,PJ名PJ00000015,2010/10/15,2010/10/15
PJ00000016,PJ名PJ00000016,2010/10/1,2010/10/1
PJ00000017,PJ名PJ00000017,2010/11/1,2010/11/1
PJ00000018,PJ名PJ00000018,2010/10/15,2010/10/15
PJ00000019,PJ名PJ00000019,2010/10/1,2010/10/1
PJ00000020,PJ名PJ00000020,2010/11/1,2010/11/1
PJ00000021,PJ名PJ00000021,2010/10/15,2010/10/15
PJ00000022,PJ名PJ00000022,2010/10/1,2010/10/1
PJ00000023,PJ名PJ00000023,2010/11/1,2010/11/1
PJ00000024,PJ名PJ00000024,2010/10/15,2010/10/15
PJ00000025,PJ名PJ00000025,2010/10/1,2010/10/1
PJ00000026,PJ名PJ00000026,2010/11/1,2010/11/1
PJ00000027,PJ名PJ00000027,2010/10/15,2010/10/15
PJ00000028,PJ名PJ00000028,2010/10/1,2010/10/1
PJ00000029,PJ名PJ00000029,2010/11/1,2010/11/1
PJ00000030,PJ名PJ00000030,2010/10/15,2010/10/15
PJ00000031,PJ名PJ00000031,2010/10/1,2010/10/1
PJ00000032,PJ名PJ00000032,2010/11/1,2010/11/1
PJ00000033,PJ名PJ00000033,2010/10/15,2010/10/15
PJ00000034,PJ名PJ00000034,2010/10/1,2010/10/1
PJ00000035,PJ名PJ00000035,2010/11/1,2010/11/1
PJ00000036,PJ名PJ00000036,2010/10/15,2010/10/15
PJ00000037,PJ名PJ00000037,2010/10/1,2010/10/1
PJ00000038,PJ名PJ00000038,2010/11/1,2010/11/1
PJ00000039,PJ名PJ00000039,2010/10/15,2010/10/15
PJ00000040,PJ名PJ00000040,2010/10/1,2010/10/1
PJ00000041,PJ名PJ00000041,2010/11/1,2010/11/1
PJ00000042,PJ名PJ00000042,2010/10/15,2010/10/15
PJ00000043,PJ名PJ00000043,2010/10/1,2010/10/1
PJ00000044,PJ名PJ00000044,2010/11/1,2010/11/1
PJ00000045,PJ名PJ00000045,2010/10/15,2010/10/15
PJ00000046,PJ名PJ00000046,2010/10/1,2010/10/1
PJ00000047,PJ名PJ00000047,2010/11/1,2010/11/1
PJ00000048,PJ名PJ00000048,2010/10/15,2010/10/15
PJ00000049,PJ名PJ00000049,2010/10/1,2010/10/1
PJ00000050,PJ名PJ00000050,2010/11/1,2010/11/1
PJ00000051,PJ名PJ00000051,2010/10/15,2010/10/15
PJ00000052,PJ名PJ00000052,2010/10/1,2010/10/1
PJ00000053,PJ名PJ00000053,2010/11/1,2010/11/1
PJ00000054,PJ名PJ00000054,2010/10/15,2010/10/15
PJ00000055,PJ名PJ00000055,2010/10/1,2010/10/1
PJ00000056,PJ名PJ00000056,2010/11/1,2010/11/1
PJ00000057,PJ名PJ00000057,2010/10/15,2010/10/15
PJ00000058,PJ名PJ00000058,2010/10/1,2010/10/1
PJ00000059,PJ名PJ00000059,2010/11/1,2010/11/1
PJ00000060,PJ名PJ00000060,2010/10/15,2010/10/15
PJ00000061,PJ名PJ00000061,2010/10/1,2010/10/1
PJ00000062,PJ名PJ00000062,2010/11/1,2010/11/1
PJ00000063,PJ名PJ00000063,2010/10/15,2010/10/15
PJ00000064,PJ名PJ00000064,2010/10/1,2010/10/1
PJ00000065,PJ名PJ00000065,2010/11/1,2010/11/1
PJ00000066,PJ名PJ00000066,2010/10/15,2010/10/15
PJ00000067,PJ名PJ00000067,2010/10/1,2010/10/1
PJ00000068,PJ名PJ00000068,2010/11/1,2010/11/1
PJ00000069,PJ名PJ00000069,2010/10/15,2010/10/15
PJ00000070,PJ名PJ00000070,2010/10/1,2010/10/1
PJ00000071,PJ名PJ00000071,2010/11/1,2010/11/1
PJ00000072,PJ名PJ00000072,2010/10/15,2010/10/15
PJ00000073,PJ名PJ00000073,2010/10/1,2010/10/1
PJ00000074,PJ名PJ00000074,2010/11/1,2010/11/1
PJ00000075,PJ名PJ00000075,2010/10/15,2010/10/15
PJ00000076,PJ名PJ00000076,2010/10/1,2010/10/1
PJ00000077,PJ名PJ00000077,2010/11/1,2010/11/1
PJ00000078,PJ名PJ00000078,2010/10/15,2010/10/15
