PJコード,PJ名,種別,区分コード,版,ファイル名,更新日,更新者
PJ00000001,PJ名PJ00000001,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000001,2010/5/25,-
PJ00000001,PJ名PJ00000001,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000001,2009/8/21,-
PJ00000001,PJ名PJ00000001,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000001,2009/9/29,-
PJ00000002,PJ名PJ00000002,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000002,2010/5/25,-
PJ00000002,PJ名PJ00000002,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000002,2009/8/24,-
PJ00000002,PJ名PJ00000002,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000002,2009/7/29,-
PJ00000003,PJ名PJ00000003,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000003,2010/5/25,-
PJ00000003,PJ名PJ00000003,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000003,2009/9/18,-
PJ00000003,PJ名PJ00000003,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000003,2009/9/24,-
PJ00000004,PJ名PJ00000004,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000004,2010/5/25,-
PJ00000004,PJ名PJ00000004,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000004,2009/6/16,-
PJ00000004,PJ名PJ00000004,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000004,2009/5/27,-
PJ00000005,PJ名PJ00000005,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000005,2010/5/25,-
PJ00000005,PJ名PJ00000005,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000005,2009/9/30,-
PJ00000005,PJ名PJ00000005,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000005,2009/8/20,-
PJ00000006,PJ名PJ00000006,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000006,2010/5/25,-
PJ00000006,PJ名PJ00000006,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000006,2009/6/11,-
PJ00000006,PJ名PJ00000006,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000006,2009/8/19,-
PJ00000007,PJ名PJ00000007,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000007,2010/5/25,-
PJ00000007,PJ名PJ00000007,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000007,2009/6/20,-
PJ00000007,PJ名PJ00000007,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000007,2009/7/29,-
PJ00000008,PJ名PJ00000008,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000008,2010/5/25,-
PJ00000008,PJ名PJ00000008,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000008,2010/2/23,-
